occurrenceID,decimalLatitude,decimalLongitude,country,countryCode,county,recordedBy,scientificName,kingdom,genus,specificEpithet,vernacularName
SBN:4039:201059,,,Sweden  ,SE,Hallands län,SBN:recorderId:300,Aglais io,Animals,aglais,io,Påfågelöga
SBN:4039:201062,,,Sweden  ,SE,Hallands län,SBN:recorderId:300,Aglais urticae,Animalia,aglais,urticae,Nässelfjäril
SBN:4039:201044,,,Sweden  ,SE,Hallands län,SBN:recorderId:300,Anthocharis cardamines,Animalia,Anthocharis,cardamines,Aurorafjäril
SBN:4039:201107,,,Sweden  ,SE,Hallands län,SBN:recorderId:300,Aphantopus hyperantus,Animalia,Aphantopus,hyperantus,Luktgräsfjäril
SBN:4039:201038,,,Sweden  ,SE,Hallands län,SBN:recorderId:300,Aporia crataegi,Animalia,Aporia,crataegi,Hagtornsfjäril
SBN:4039:201064,,,Sweden,SE,Hallands län,SBN:recorderId:300,Araschnia levana,Animalia,Araschnia,levana,Kartfjäril
SBN:4039:201065,,,Sweden,SE,Hallands län,SBN:recorderId:300,Argynnis paphia,Animalia,Argynnis,paphia,Silverstreckad pärlemorfjäril
SBN:4039:201072,,,Sweden,SE,Hallands län,SBN:recorderId:300,Boloria aquilonaris,Animalia,Boloria,aquilonaris,Myrpärlemorfjäril
SBN:4039:201071,,,Sweden,SE,Hallands län,SBN:recorderId:300,Brenthis ino,Animalia,Brenthis,ino,Älggräspärlemorfjäril
SBN:4039:201137,,,Sweden,SE,Hallands län,SBN:recorderId:300,Celastrina argiolus,Animalia,Celastrina,argiolus,Tosteblåvinge
SBN:4039:201109,,,Sweden,SE,Hallands län,SBN:recorderId:300,Coenonympha pamphilus,Animalia,Coenonympha,pamphilus,Kamgräsfjäril
SBN:4039:201108,,,Sweden,SE,Hallands län,SBN:recorderId:300,Coenonympha tullia,Animalia,Coenonympha,tullia,Starrgräsfjäril
SBN:4039:201099,,,Sweden,SE,Hallands län,SBN:recorderId:300,Erebia ligea,Animalia,Erebia,ligea,Skogsgräsfjäril
SBN:4039:201068,,,Sweden,SE,Hallands län,SBN:recorderId:300,Fabriciana adippe,Animalia,Fabriciana,adippe,Skogspärlemorfjäril
SBN:4039:201051,,,Sweden,SE,Hallands län,SBN:recorderId:300,Gonepteryx rhamni,Animalia,Gonepteryx,rhamni,Citronfjäril
SBN:4039:101070,,,Sweden,SE,Hallands län,SBN:recorderId:300,Hesperia comma,Animalia,Hesperia,comma,Silversmygare
SBN:4039:201115,,,Sweden,SE,Hallands län,SBN:recorderId:300,Lasiommata maera,Animalia,Lasiommata,maera,Vitgräsfjäril
SBN:4039:201036,,,Sweden,SE,Hallands län,SBN:recorderId:300,Leptidea sinapis,Animalia,Leptidea,sinapis,Skogsvitvinge
SBN:4039:201126,,,Sweden,SE,Hallands län,SBN:recorderId:300,Lycaena phlaeas,Animalia,Lycaena,phlaeas,Mindre guldvinge
SBN:4039:201129,,,Sweden,SE,Hallands län,SBN:recorderId:300,Lycaena virgaureae,Animalia,Lycaena,virgaureae,Vitfläckig guldvinge
SBN:4039:201104,,,Sweden,SE,Hallands län,SBN:recorderId:300,Maniola jurtina,Animalia,Maniola,jurtina,Slåttergräsfjäril
SBN:4039:201086,,,Sweden,SE,län Hallands,SBN:recorderId:300,Melitaea athalia,Animalia,Melitaea,athalia,Skogsnätfjäril
SBN:4039:201058,,,Sweden,SE,län Hallands,SBN:recorderId:300,Nymphalis antiopa,Animalia,Nymphalis,antiopa,Sorgmantel
SBN:4039:201034,,,Sweden,SE,län Hallands,SBN:recorderId:300,Papilio machaon,Animalia,Papilio,machaon,Makaonfjäril
SBN:4039:201113,,,Sweden,SE,län Hallands,SBN:recorderId:300,Pararge aegeria,Animalia,Pararge,aegeria,Kvickgräsfjäril
SBN:4039:201039,,,Sweden,SE,län Hallands,SBN:recorderId:300,Pieris brassicae,Animalia,Pieris,brassicae,Kålfjäril
SBN:4039:201040,,,Sweden,SE,län Hallands,SBN:recorderId:300,Pieris rapae,Animalia,Pieris,rapae,Rovfjäril
SBN:4039:201153,,,Sweden,SE,Hallands län,SBN:recorderId:300,Plebejus idas,Animalia,Plebejus,idas,Hedblåvinge
SBN:4039:201146,,,Sweden,SE,Hallands län,SBN:recorderId:300,Polyommatus amandus,Animalia,Polyommatus,amandus,Silverblåvinge
SBN:4039:201144,,,Sweden,SE,Hallands län,SBN:recorderId:300,Polyommatus Icarus,Animalia,Polyommatus,icarus,Puktörneblåvinge
SBN:4039:201028,,,Sweden,SE,Hallands län,SBN:recorderId:300,Thymelicus lineola,Animalia,Thymelicus,lineola,Mindre tåtelsmygare
SBN:4039:201060,,,Sweden,SE,Hallands län,SBN:recorderId:300,Vanessa atalanta,Animalia,Vanessa,atalanta,Amiral
SBN:4039:201061,,,Sweden,SE,Hallands län,SBN:recorderId:300,Vanessa cardui,Animalia,Vanessa,cardui,Tistelfjäril
SBN:11280:201059,,,Sweden,SE,Jönköpings län,SBN:recorderId:608,Aglais io,Animalia,aglais,io,Påfågelöga
SBN:11280:201062,,,Sweden,SE,Jönköpings län,SBN:recorderId:608,Aglais urticae,Animalia,aglais,urticae,Nässelfjäril
SBN:11280:201151,,,Sweden,SE,Jönköpings län,SBN:recorderId:608,Agriades optilete,Animalia,Agriades,optilete,Violett blåvinge
SBN:11280:201044,,,Sweden,SE,Jönköpings län,SBN:recorderId:608,Anthocharis cardamines,Animalia,Anthocharis,cardamines,Aurorafjäril
SBN:11280:201107,,,Sweden,SE,Jönköpings län,SBN:recorderId:608,Aphantopus hyperantus,Animalia,Aphantopus,hyperantus,Luktgräsfjäril
SBN:11280:201064,,,Sweden,SE,Jönköpings län,SBN:recorderId:608,Araschnia levana,Animalia,Araschnia,levana,Kartfjäril
SBN:11280:201064,,,Sweden,SE,Jönköpings län,SBN:recorderId:608,Argynnis paphia,Animalia,Argynnis,paphia,Silverstreckad pärlemorfjäril
SBN:11280:201075,,,Sweden,SE,Jönköpings län,SBN:recorderId:608,Boloria selene,Animalia,Boloria,selene,Brunfläckig pärlemorfjäril
SBN:11280:201071,,,Sweden,SE,Jönköpings län,SBN:recorderId:608,Brenthis  ino,Animalia,Brenthis,ino,Älggräspärlemorfjäril
SBN:11280:201125,,,Sweden,SE,Jönköpings län,SBN:recorderId:608,Callophrys rubi,Animalia,Callophrys,rubi,Grönsnabbvinge
SBN:11280:201110,,,Sweden,SE,Jönköpings län,SBN:recorderId:608,Coenonympha arcania,Animalia,Coenonympha,arcania,Pärlgräsfjäril
SBN:11280:201109,,,Sweden ,SE,Jönköpings län,SBN:recorderId:608,Coenonympha pamphilus,Animals,Coenonympha,pamphilus,Kamgräsfjäril
SBN:11280:201143,,,Sweden,SE,Jönköpings län,SBN:recorderId:608,Cyaniris semiargus,Animalia,Cyaniris,semiargus,Ängsblåvinge
SBN:11280:201099,,,Sweden,SE,Jönköpings län,SBN:recorderId:608,Erebia ligea,Animalia,Erebia,ligea,Skogsgräsfjäril
SBN:11280:201051,,,Sweden,SE,Jönköpings län,SBN:recorderId:608,Gonepteryx rhamni,Animalia,Gonepteryx,rhamni,Citronfjäril
SBN:11280:201115,,,Sweden,SE,Jönköpings län,SBN:recorderId:608,Lasiommata maera,Animalia,Lasiommata,maera,Vitgräsfjäril
SBN:11280:6006844,,,Sweden,SE,Jönköpings län,SBN:recorderId:608,Leptidea juvernica/sinapis,Animalia,Leptidea,juvernica/sinapis,Ängsvitvinge/Skogsvitvinge
SBN:11280:201126,,,Sweden,SE,Jönköpings län,SBN:recorderId:608,Lycaena phlaeas,Animalia,Lycaena,phlaeas,Mindre guldvinge
SBN:11280:201129,,,Sweden,SE,Jönköpings län,SBN:recorderId:608,Lycaena virgaureae,Animalia,Lycaena,virgaureae,Vitfläckig guldvinge
SBN:11280:201104,,,Sweden,SE,Jönköpings län,SBN:recorderId:608,Maniola jurtina,Animalia,Maniola,jurtina,Slåttergräsfjäril
SBN:11280:201086,,,Sweden,SE,Jönköpings län,SBN:recorderId:608,Melitaea athalia,Animalia,Melitaea,athalia,Skogsnätfjäril
SBN:11280:201031,,,Sweden ,SE,Jönköpings län,SBN:recorderId:608,Ochlodes sylvanus,Animalia,Ochlodes,sylvanus,Ängssmygare
SBN:11280:201113,,,Sweden,SE,Jönköpings län,SBN:recorderId:608,Pararge aegeria,Animals,Pararge,aegeria,Kvickgräsfjäril
SBN:11280:201041,,,Sweden,SE,Jönköpings län,SBN:recorderId:608,Pieris napi,Animalia,Pieris,napi,Rapsfjäril
SBN:11280:201040,,,Sweden,SE,Jönköpings län,SBN:recorderId:608,Pieris rapae,Animalia,Pieris,rapae,Rovfjäril
SBN:11280:201152,,,Sweden,SE,Jönköpings län,SBN:recorderId:608,Plebejus argus,Animalia,Plebejus,argus,Ljungblåvinge
SBN:11280:201063,,,Sweden,SE,Jönköpings län,SBN:recorderId:608,Polygonia c-album,Animalia,Polygonia,c-album,Vinbärsfuks
SBN:11280:201144,,,Sweden,SE,Jönköpings län,SBN:recorderId:608,Polyommatus icarus,Animalia,Polyommatus,icarus,Puktörneblåvinge
SBN:11280:201067,,,Sweden,SE,Jönköpings län,SBN:recorderId:608,Speyeria aglaja,Animalia,Speyeria,aglaja,Ängspärlemorfjäril
